"#";"Url";"Type";"Anchor";"No-follow";"Google cachedate";"Facebook likes";"Google index";"Yahoo index";"Bing index";"Alexa rank";"SEMrush Rank";"SEMrush SE Traffic";"SEMrush backlinks"
"1";"https://bgoonz-blog.netlify.app/";"image";"webdevhub logo";"No";"n/a";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"576"
"";"";"text";"https://bgoonz-blog.netlify.app/";"No"
"2";"https://bgoonz-blog.netlify.app/docs/sitemap";"text";"Navigation";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"8"
"3";"https://bgoonz-blog.netlify.app/docs";"text";"Docs";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"8"
"";"";"text";"Top Repos";"No"
"4";"https://bgoonz-blog.netlify.app/showcase";"text";"Showcase";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"8"
"5";"https://bgoonz-blog.netlify.app/docs/faq/contact";"text";"Contact!";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"9"
"6";"https://bgoonz-blog.netlify.app/docs/python/python-ds";"text";"Python";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"8"
"7";"https://bgoonz-blog.netlify.app/javascript";"text";"JavaScript";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"0"
"8";"https://bgoonz-blog.netlify.app/blog/";"text";"Blog";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"20"
"9";"https://bgoonz-blog.netlify.app/blog/platform-docs/";"text";"platform docs";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"16"
"10";"https://bgoonz-blog.netlify.app/docs/articles/nodejs/";"text";"nodejs";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"5"
"";"";"text";"Javascript and Node";"No"
"11";"https://bgoonz-blog.netlify.app/blogWcomments/";"text";"Blog w Comments";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"0"
"12";"https://bgoonz-blog.netlify.app/docs/interview/job-search-nav/";"text";"Job Search";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"0"
"";"";"text";"Job Search Navigation";"No"
"13";"https://bgoonz-blog.netlify.app/interview/job-boards";"text";"Job Boards";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"0"
"14";"https://bgoonz-blog.netlify.app/docs/tools/Archive";"text";"Archive";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"0"
"15";"https://bgoonz-blog.netlify.app/docs/gallery";"text";"Gallery";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"9"
