"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Image","https://bgoonz-blog.netlify.app/","https://img.shields.io/badge/-HTML-05122A?style=flat&logo=HTML5","0","HTML","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/section[@id='Intro']/div[@class='inner-sm']/div[@class='block-content']/p[7]/img[2]","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/","https://readme-jokes.vercel.app/api","952","Jokes","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/section[@id='Intro']/div[@class='inner-sm']/div[@class='block-content']/p[6]/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/about/","https://readme-jokes.vercel.app/api","952","","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/div/div[@class='docs-content']/article/div/div/div/img[2]","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/","https://activity-graph.herokuapp.com/graph?username=bgoonz&custom_title=This%20is%20Bryans%20Activity&hide_border=true&theme=chartreuse-dark","17348","Bryans github activity graph","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/section[@id='Intro']/div[@class='inner-sm']/div[@class='block-content']/p[5]/a/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/","https://img.icons8.com/color/96/000000/youtube.png","2827","","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/section[@id='Intro']/div[@class='inner-sm']/div[@class='block-content']/p[2]/a[3]/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/community/","https://img.icons8.com/color/96/000000/youtube.png","2827","youtube","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/div/div[@class='docs-content']/article/div/div/div[1]/p/a[4]/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/about/","https://img.icons8.com/color/96/000000/youtube.png","2827","youtube","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/div/div[@class='docs-content']/article/div/div/div/p[3]/a[4]/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/","https://upload.wikimedia.org/wikipedia/en/thumb/d/da/OldDevils.png/300px-OldDevils.png","21367","","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/section[@id='interests']/div/div[@class='block-content']/div/div[@class='grid-item'][5]/div/div[@class='grid-item-content']/p[1]/a/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/","https://d33wubrfki0l68.cloudfront.net/9af799c578c04eb82ec44952c6db4bf54e828720/765f1/images/7a8bc98e902a2f6dea90386cdfb154c2-2d55c637.png","121500","Every idea needs a medium","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/section[@id='features']/div/div/div/div[@class='grid-item'][6]/div/div[@class='grid-item-image']/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/","https://d33wubrfki0l68.cloudfront.net/e5828552ff6b5743ed241d9c926e60eb925dde97/8dbbf/images/goals.jpg","291559","medium","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/section[@id='Web Audio DAW']/div/div/div[1]/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/","https://img.icons8.com/color/96/000000/gmail.png","2812","","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/section[@id='Intro']/div[@class='inner-sm']/div[@class='block-content']/p[2]/a[2]/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/community/","https://img.icons8.com/color/96/000000/gmail.png","2812","email","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/div/div[@class='docs-content']/article/div/div/div[1]/p/a[1]/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/about/","https://img.icons8.com/color/96/000000/gmail.png","2812","email","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/div/div[@class='docs-content']/article/div/div/div/p[3]/a[1]/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/","https://d33wubrfki0l68.cloudfront.net/a37b8bc089cdd775711785baf935f9b1c4e732b0/0b88f/images/successful-panda.gif","1045723","img of dtw","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/section[@id='features']/div/div/div/div[@class='grid-item'][4]/div/div[@class='grid-item-image']/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/","https://d33wubrfki0l68.cloudfront.net/c2ae8fae397ffc059312cb9e84ae23dd4bf774bd/00c7f/images/iter-c7508519.jpg","173991","lorem-ipsum","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/section[@id='interests']/div/div[@class='block-content']/div/div[@class='grid-item'][6]/div/div[@class='grid-item-image']/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/","https://d33wubrfki0l68.cloudfront.net/fff654f69f33e9696e7367a076a3291ac5dadf2a/75613/images/portfolio-pic-494ea398.png","745333","portfolio of websites","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/section[@id='features-two-col']/div/div[@class='block-content']/div/div[@class='grid-item'][2]/div/div[@class='grid-item-image']/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/","https://img.shields.io/badge/-PostgreSQL-05122A?style=flat&logo=postgresql","0","PostgreSQL","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/section[@id='Intro']/div[@class='inner-sm']/div[@class='block-content']/p[7]/img[10]","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/","https://img.shields.io/badge/-React-05122A?style=flat&logo=react","0","React","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/section[@id='Intro']/div[@class='inner-sm']/div[@class='block-content']/p[7]/img[5]","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/","https://d33wubrfki0l68.cloudfront.net/f318a0bdc5403fb9b59683b46e3c9ec2d75d2ed2/7de75/images/pleasant-birch.png","251187","img of react","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/section[@id='features']/div/div/div/div[@class='grid-item'][5]/div/div[@class='grid-item-image']/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/","https://assets.stackbit.com/components/images/default/post-4.jpeg","15213","Placeholder Image","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/section[@id='lorem-ipsum'][2]/div/div/div/div[@class='outer']/p[2]/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/javascript/for-loops/","https://assets.stackbit.com/components/images/default/post-4.jpeg","15213","Placeholder Image","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/div/div[@class='docs-content']/article/div/div/p[2]/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/","https://d33wubrfki0l68.cloudfront.net/fb22b10eaa16e4ac0690115bf6c6987350d38d4b/13c10/images/eventloop.gif","881793","lorem-ipsum","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/section[@id='interests']/div/div[@class='block-content']/div/div[@class='grid-item'][4]/div/div[@class='grid-item-image']/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/","https://img.shields.io/badge/-JavaScript-05122A?style=flat&logo=javascript","0","JavaScript","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/section[@id='Intro']/div[@class='inner-sm']/div[@class='block-content']/p[7]/img[4]","Content","HTML"
