"Address","Occurrences","H1-1","H1-1 Length","H1-2","H1-2 Length","Indexability","Indexability Status"
"https://bgoonz-blog.netlify.app/","2","I am a musician, electrical engineer & web developer","52","New Jersey Devils Hockey Team","29","Indexable",""
"https://bgoonz-blog.netlify.app/docs/projects/","2","Projects","8","Links:","6","Indexable",""
"https://bgoonz-blog.netlify.app/docs/content/","1","Content","7","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/","2","Reference","9","Reference:","10","Indexable",""
"https://bgoonz-blog.netlify.app/blog/platform-docs/","2","Netlify CMS Intro","17","Add to Your Site | Netlify CMS","30","Indexable",""
"https://bgoonz-blog.netlify.app/docs/tutorials/","1","Tutorials","9","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/community/","1","Community","9","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/","2","Docs","4","My DevDocs Deploy","17","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/","1","Articles","8","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/","2","QuickRef","8","Quick Reference","15","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/nodejs/","1","Javascript and Node","19","","0","Indexable",""
"https://bgoonz-blog.netlify.app/blog/","1","Blog","4","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/interview/job-search-nav/","2","Job Search Navigation","21","Navigation","10","Indexable",""
"https://bgoonz-blog.netlify.app/docs/react/","2","React","5","React","5","Indexable",""
"https://bgoonz-blog.netlify.app/docs/faq/","1","FAQ","3","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/interact/","1","Interactive","11","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/about/","2","About","5","Hi 👋, I'm Bryan","16","Indexable",""
"https://bgoonz-blog.netlify.app/docs/leetcode/","2","Leetcode","8","Leetcode","8","Indexable",""
"https://bgoonz-blog.netlify.app/docs/javascript/","2","Javascript","10","Fundamental Javascript Concepts You Should Understand","53","Indexable",""
"https://bgoonz-blog.netlify.app/docs/tools/","2","Tools","5","Markdown tools","14","Indexable",""
"https://bgoonz-blog.netlify.app/docs/interview/","2","Interviewing","12","Navigation","10","Indexable",""
"https://bgoonz-blog.netlify.app/docs/data-structures/","2","Data Structures","15","Fundamental Data Structures In JavaScript","41","Indexable",""
"https://bgoonz-blog.netlify.app/docs/python/","2","Python","6","Python Resources","16","Indexable",""
"https://bgoonz-blog.netlify.app/docs/tips/","1","Tips","4","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/audio/","1","Audio","5","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/vscode-themes/","2","vscode-themes","13","My Favorite VSCode Themes","25","Indexable",""
"https://bgoonz-blog.netlify.app/docs/projects/my-websites/","2","My Sites","8","Links","5","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/webdev-tools/","1","Web Developer Tools","19","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/react/dont-use-index-as-keys/","2","Index as a key is an anti-pattern","33","Lists and Keys – React","22","Indexable",""
"https://bgoonz-blog.netlify.app/docs/python/functions/","1","lorem-ipsum","11","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/reading-files/","1","Reading Files","13","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/how-to-kill-a-process/","2","Kill a Process in Linux","23","How to Kill a Process in Linux","30","Indexable",""
"https://bgoonz-blog.netlify.app/docs/interact/video-chat/","2","Zumzi Video Conferencing (Mesibo API Backend)","45","Zumzi Video Conference:","23","Indexable",""
"https://bgoonz-blog.netlify.app/docs/javascript/review/","2","Javascript Concepts Review","26","Core Concepts","13","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/node-docs-complete/","2","Node Docs","9","How to use the Node.js REPL","27","Indexable",""
"https://bgoonz-blog.netlify.app/docs/about/eng-portfolio/","2","Engineering Portfolio","21","Portfolio","9","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/node-cli-args/","1","where-is-npm-pack","17","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/bash/","2","Bash Commands That Save Me Time and Frustration","47","Bash Commands","13","Indexable",""
"https://bgoonz-blog.netlify.app/docs/javascript/for-loops/","1","lorem-ipsum","11","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/no-whiteboarding/","1","lorem-ipsum","11","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/intro-to-nodejs/","2","Intro To NodeJS","15","Extended Version:","17","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/sitemap/","1","Sitemap","7","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/all-emojis/","1","All Emojis","10","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/new-repo-instructions/","1","new-repo-git","12","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/about/job-search/","2","Job Search","10","Job Boards and The Hunt","23","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/node-package-manager/","1","Sorting Algorithms","18","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/tips/insert-into-array/","1","Insert Into Array","17","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/audio/dtw-python-explained/","2","Dynamic Time Warping Algorithm Explained (Python)","49","Dynamic Time Warping Algorithm Explained (Python)","49","Indexable",""
"https://bgoonz-blog.netlify.app/docs/audio/discrete-fft/","1","Fast Fourier Transform","22","","0","Indexable",""
"https://bgoonz-blog.netlify.app/docs/about/resume/","2","Resume","6","➤ Technical Skills­­­","21","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/resources/","1","Developer Resources","19","","0","Indexable",""
