"Address","Content Type","Size (bytes)","IMG Inlinks","Indexability","Indexability Status"
"https://img.shields.io/badge/-HTML-05122A?style=flat&logo=HTML5","image/svg+xml;charset=utf-8","0","1","Indexable",""
"https://readme-jokes.vercel.app/api","image/svg+xml; charset=utf-8","952","2","Indexable",""
"https://activity-graph.herokuapp.com/graph?username=bgoonz&custom_title=This%20is%20Bryans%20Activity&hide_border=true&theme=chartreuse-dark","image/svg+xml; charset=utf-8","17348","1","Indexable",""
"https://img.icons8.com/color/96/000000/youtube.png","image/png","2827","3","Indexable",""
"https://upload.wikimedia.org/wikipedia/en/thumb/d/da/OldDevils.png/300px-OldDevils.png","image/png","21367","1","Indexable",""
"https://d33wubrfki0l68.cloudfront.net/9af799c578c04eb82ec44952c6db4bf54e828720/765f1/images/7a8bc98e902a2f6dea90386cdfb154c2-2d55c637.png","image/png","121500","1","Indexable",""
"https://d33wubrfki0l68.cloudfront.net/e5828552ff6b5743ed241d9c926e60eb925dde97/8dbbf/images/goals.jpg","image/jpeg","291559","1","Indexable",""
"https://img.icons8.com/color/96/000000/gmail.png","image/png","2812","3","Indexable",""
"https://d33wubrfki0l68.cloudfront.net/a37b8bc089cdd775711785baf935f9b1c4e732b0/0b88f/images/successful-panda.gif","image/gif","1045723","1","Indexable",""
"https://d33wubrfki0l68.cloudfront.net/c2ae8fae397ffc059312cb9e84ae23dd4bf774bd/00c7f/images/iter-c7508519.jpg","image/jpeg","173991","1","Indexable",""
"https://d33wubrfki0l68.cloudfront.net/fff654f69f33e9696e7367a076a3291ac5dadf2a/75613/images/portfolio-pic-494ea398.png","image/png","745333","1","Indexable",""
"https://img.shields.io/badge/-PostgreSQL-05122A?style=flat&logo=postgresql","image/svg+xml;charset=utf-8","0","1","Indexable",""
"https://img.shields.io/badge/-React-05122A?style=flat&logo=react","image/svg+xml;charset=utf-8","0","1","Indexable",""
"https://d33wubrfki0l68.cloudfront.net/f318a0bdc5403fb9b59683b46e3c9ec2d75d2ed2/7de75/images/pleasant-birch.png","image/png","251187","1","Indexable",""
"https://assets.stackbit.com/components/images/default/post-4.jpeg","image/jpeg","15213","2","Indexable",""
"https://d33wubrfki0l68.cloudfront.net/fb22b10eaa16e4ac0690115bf6c6987350d38d4b/13c10/images/eventloop.gif","image/gif","881793","1","Indexable",""
"https://img.shields.io/badge/-JavaScript-05122A?style=flat&logo=javascript","image/svg+xml;charset=utf-8","0","1","Indexable",""
