"Path 1","Path 2","Path 3","Path 4","Path 5","Path 6","URLs","Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Description 2","Meta Description 2 Length","Meta Description 2 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","Crawl Timestamp"
"https/","","","","","","207","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bgoonz-blog.netlify.app/","","","","","207","https://bgoonz-blog.netlify.app/","text/html;charset=UTF-8","200","OK","Indexable","","Web-Dev-Hub","11","123","bigO, Python, Javascript, Audio, Processing, Learning, Blog, React,
PostgreSQL, Scope, Closure, Web Development, Embed, API, Website, Design,
Music, Search","155","1023","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","I am a musician, electrical engineer & web developer","52","New Jersey Devils Hockey Team","29","Current Interests","17","Full Text Search","16","","","","","","","","","","266237","1027","2.850","0","","188","174","0","100.000","73","44","0","88","77","0","","","","","96677c75e73c782cd6ddae4bf5b2ba37","0.244","","","","","1.1","https://bgoonz-blog.netlify.app/","2022-01-05 20:32:09"
"","","javascript","","","","1","https://bgoonz-blog.netlify.app/javascript","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","1322","0","0.000","1","","174","174","0","100.000","0","0","0","0","0","0","","","","","","0.900","","","","","1.1","https://bgoonz-blog.netlify.app/javascript","2022-01-05 20:32:11"
"","","mailto:bryan.guner@gmail.com","","","","1","https://bgoonz-blog.netlify.app/mailto:bryan.guner@gmail.com","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0.000","1","","1","1","0","0.570","0","0","0","0","0","0","","","","","","0.248","","","","","1.1","https://bgoonz-blog.netlify.app/mailto:bryan.guner@gmail.com","2022-01-05 20:32:13"
"","","jamstack","","","","1","https://bgoonz-blog.netlify.app/jamstack","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","1322","0","0.000","1","","1","1","0","0.570","0","0","0","0","0","0","","","","","","1.006","","","","","1.1","https://bgoonz-blog.netlify.app/jamstack","2022-01-05 20:32:14"
"","","docs/","","","","190","https://bgoonz-blog.netlify.app/docs/","text/html;charset=UTF-8","200","OK","Indexable","","Web Dev Hub","11","121","Application, Back-end, Bootstrap, Browser, Caching, Code, CSS, Content Management System (CMS) , Cookies, Domain Name ,Frameworks, Front-end, JavaScript, Python","160","1081","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","Docs","4","Go To Sitemap: Go Now -->","25","Doc Websites & Repos","20","Jump to Section","15","","","","","","","","","","230200","74","1.975","2","","180","170","0","97.700","210","198","0","58","52","0","","","","","db33491de04780bbf288518d2e536fbc","0.258","","","","","1.1","https://bgoonz-blog.netlify.app/docs/","2022-01-05 20:35:01"
"","","","projects/","","","6","https://bgoonz-blog.netlify.app/docs/projects/","text/html;charset=UTF-8","200","OK","Indexable","","Projects","8","72","introductory-react-part-2
a-very-quick-guide-to-calculating-big-o-computational-complexity
introduction-to-react css-animations","127","796","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","Projects","8","Links:","6","Jump to Section","15","","0","","","","","","","","","","232357","72","1.944","1","","180","171","0","98.280","214","198","0","48","43","0","","","","","4859663b5bdfd845f3507c9aaa140b34","0.298","","","","","1.1","https://bgoonz-blog.netlify.app/docs/projects/","2022-01-05 20:32:16"
"","","","","my-websites/","","1","https://bgoonz-blog.netlify.app/docs/projects/my-websites/","text/html;charset=UTF-8","200","OK","Indexable","","My Sites","8","77","This is the My Sites page","25","158","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","My Sites","8","Links","5","Jump to Section","15","","0","","","","","","","","","","243927","108","1.745","2","","179","170","0","97.700","209","198","0","48","43","0","","","","","27b298b2d97b5f58543927d8746b4240","0.294","","","","","1.1","https://bgoonz-blog.netlify.app/docs/projects/my-websites/","2022-01-05 20:32:48"
"","","","","embeded-websites/","","1","https://bgoonz-blog.netlify.app/docs/projects/embeded-websites/","text/html;charset=UTF-8","200","OK","Indexable","","Gatsby Plugins For This Sites Content Model","43","394","This is my markdown notes tempate","33","225","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","Embeded Websites & Projects","27","Family Promise Project:","23","navigation","10","UX","2","","","","","","","","","","257308","595","2.812","2","","179","170","0","97.700","209","198","0","184","157","0","","","","","d3cb7175900b487fdf01a607d051779a","0.442","","","","","1.1","https://bgoonz-blog.netlify.app/docs/projects/embeded-websites/","2022-01-05 20:33:42"
"","","","","list-of-projects/","","1","https://bgoonz-blog.netlify.app/docs/projects/list-of-projects/","text/html;charset=UTF-8","200","OK","Indexable","","List Of Projects","16","137","introductory-react-part-2
a-very-quick-guide-to-calculating-big-o-computational-complexity
introduction-to-react css-animations","127","796","Learning about Web Development.","31","220","HTML, Meta Tags, Metadata","25","List Of Projects","16","More:","5","Jump to Section","15","","0","","","","","","","","","","264133","694","5.909","2","","179","170","0","97.700","210","198","0","372","329","0","","","","","59f2ec24a51fbf24c4cad74386656a80","0.280","","","","","1.1","https://bgoonz-blog.netlify.app/docs/projects/list-of-projects/","2022-01-05 20:34:15"
