"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Description 2","Meta Description 2 Length","Meta Description 2 Pixel Width","Indexability","Indexability Status"
"https://bgoonz-blog.netlify.app/","2","bigO, Python, Javascript, Audio, Processing, Learning, Blog, React,
PostgreSQL, Scope, Closure, Web Development, Embed, API, Website, Design,
Music, Search","155","1023","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/projects/","2","introductory-react-part-2
a-very-quick-guide-to-calculating-big-o-computational-complexity
introduction-to-react css-animations","127","796","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/content/","2","This is the manage content page","31","207","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/reference/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/blog/platform-docs/","2","Lorem ipsum dolor sit amet, consectetur adipiscing elit","55","341","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/tutorials/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/community/","2","This is the community page","26","172","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/docs/","2","Documentation","13","95","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/","2","This section is similar to a blog but is more technical in nature and time invariant with regard to content.","108","648","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/quick-reference/","2","This is the Cheat Sheets page","29","191","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/articles/nodejs/","2","This is the Javascript and Node page","36","233","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/blog/","2","These are blog posts... not nescisarily different from the docs section except these pieces are more subject to my own opinions.","128","802","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/interview/job-search-nav/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/react/","2","This is the React page","22","142","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/faq/","2","FAQ What's your favorite non-business book?
Hitchhiker's Guide To The Galaxy","76","506","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/interact/","2","here is content the user can interact with","42","256","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/about/","2","Bryan Guner personal blog about page","36","247","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/leetcode/","2","Leetcode practice","17","113","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/javascript/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/tools/","2","paste to markdown, excel table to markdown, excel to html, cloud storage, text manipulation, ternary converter, github html preview, form builder, border","153","951","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/interview/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/data-structures/","2","This is the  Data Structures page","33","204","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/python/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/tips/","2","","0","0","Learning about Web Development.","31","220","Indexable",""
"https://bgoonz-blog.netlify.app/docs/audio/","2","A collection of web audio projects","34","210","Learning about Web Development.","31","220","Indexable",""
