Path 1,Path 2,Path 3,Path 4,Path 5,Path 6,URLs,Address,Content Type,Status Code,Status,Indexability,Indexability Status,Hash,Length,Canonical Link Element 1,URL Encoded Address
https/,,,,,,207,,,,,,,,,,
,bgoonz-blog.netlify.app/,,,,,207,https://bgoonz-blog.netlify.app/,text/html;charset=UTF-8,200,OK,Indexable,,96677c75e73c782cd6ddae4bf5b2ba37,32,,https://bgoonz-blog.netlify.app/
,,javascript,,,,1,https://bgoonz-blog.netlify.app/javascript,text/html; charset=utf-8,404,Not Found,Non-Indexable,Client Error,,42,,https://bgoonz-blog.netlify.app/javascript
,,mailto:bryan.guner@gmail.com,,,,1,https://bgoonz-blog.netlify.app/mailto:bryan.guner@gmail.com,text/html; charset=utf-8,404,Not Found,Non-Indexable,Client Error,,60,,https://bgoonz-blog.netlify.app/mailto:bryan.guner@gmail.com
,,jamstack,,,,1,https://bgoonz-blog.netlify.app/jamstack,text/html; charset=utf-8,404,Not Found,Non-Indexable,Client Error,,40,,https://bgoonz-blog.netlify.app/jamstack
,,docs/,,,,190,https://bgoonz-blog.netlify.app/docs/,text/html;charset=UTF-8,200,OK,Indexable,,db33491de04780bbf288518d2e536fbc,37,,https://bgoonz-blog.netlify.app/docs/
,,,projects/,,,6,https://bgoonz-blog.netlify.app/docs/projects/,text/html;charset=UTF-8,200,OK,Indexable,,4859663b5bdfd845f3507c9aaa140b34,46,,https://bgoonz-blog.netlify.app/docs/projects/
,,,,my-websites/,,1,https://bgoonz-blog.netlify.app/docs/projects/my-websites/,text/html;charset=UTF-8,200,OK,Indexable,,27b298b2d97b5f58543927d8746b4240,58,,https://bgoonz-blog.netlify.app/docs/projects/my-websites/
,,,,embeded-websites/,,1,https://bgoonz-blog.netlify.app/docs/projects/embeded-websites/,text/html;charset=UTF-8,200,OK,Indexable,,d3cb7175900b487fdf01a607d051779a,63,,https://bgoonz-blog.netlify.app/docs/projects/embeded-websites/
,,,,list-of-projects/,,1,https://bgoonz-blog.netlify.app/docs/projects/list-of-projects/,text/html;charset=UTF-8,200,OK,Indexable,,59f2ec24a51fbf24c4cad74386656a80,63,,https://bgoonz-blog.netlify.app/docs/projects/list-of-projects/
,,,,mini-projects2/,,1,https://bgoonz-blog.netlify.app/docs/projects/mini-projects2/,,0,Connection Timeout,Non-Indexable,No Response,,61,,https://bgoonz-blog.netlify.app/docs/projects/mini-projects2/
,,,,mini-projects/,,1,https://bgoonz-blog.netlify.app/docs/projects/mini-projects/,text/html;charset=UTF-8,200,OK,Indexable,,fc71e4b9df5f05120a8bd148766ed17e,60,,https://bgoonz-blog.netlify.app/docs/projects/mini-projects/
,,,python/,,,12,https://bgoonz-blog.netlify.app/docs/python/,text/html;charset=UTF-8,200,OK,Indexable,,e28c0cecd912022fa21d4ed22eefbef0,44,,https://bgoonz-blog.netlify.app/docs/python/
,,,,python-ds,,1,https://bgoonz-blog.netlify.app/docs/python/python-ds,text/html; charset=utf-8,301,Moved Permanently,Non-Indexable,Redirected,,53,,https://bgoonz-blog.netlify.app/docs/python/python-ds
,,,,functions/,,1,https://bgoonz-blog.netlify.app/docs/python/functions/,text/html; charset=utf-8,200,OK,Indexable,,d8fcf82a26031f1ac8ea74185150c667,54,,https://bgoonz-blog.netlify.app/docs/python/functions/
,,,,examples/,,1,https://bgoonz-blog.netlify.app/docs/python/examples/,text/html; charset=utf-8,200,OK,Indexable,,21796decb39ba2208685a9a815ee6ff1,53,,https://bgoonz-blog.netlify.app/docs/python/examples/
,,,,python-ds/,,1,https://bgoonz-blog.netlify.app/docs/python/python-ds/,text/html;charset=UTF-8,200,OK,Indexable,,21bdece44e5f7e674db5bd7d88d2dc4b,54,,https://bgoonz-blog.netlify.app/docs/python/python-ds/
,,,,snippets/,,1,https://bgoonz-blog.netlify.app/docs/python/snippets/,text/html;charset=UTF-8,200,OK,Indexable,,77da4a88da404af8a09acb6b0fcc25d8,53,,https://bgoonz-blog.netlify.app/docs/python/snippets/
,,,,intro-for-js-devs/,,1,https://bgoonz-blog.netlify.app/docs/python/intro-for-js-devs/,text/html;charset=UTF-8,200,OK,Indexable,,15a71f35dd44e74bc663501db075c27a,62,,https://bgoonz-blog.netlify.app/docs/python/intro-for-js-devs/
,,,,comprehensive-guide/,,1,https://bgoonz-blog.netlify.app/docs/python/comprehensive-guide/,text/html;charset=UTF-8,200,OK,Indexable,,ae652116ed41f32eb2dcfc5010987593,64,,https://bgoonz-blog.netlify.app/docs/python/comprehensive-guide/
,,,,flow-control/,,1,https://bgoonz-blog.netlify.app/docs/python/flow-control/,text/html;charset=UTF-8,200,OK,Indexable,,82cebc64edcda4a92cf2003c5cc3493d,57,,https://bgoonz-blog.netlify.app/docs/python/flow-control/
,,,,google-sheets-api/,,1,https://bgoonz-blog.netlify.app/docs/python/google-sheets-api/,text/html;charset=UTF-8,200,OK,Indexable,,81cc24f99ac45f3cb6c828aa5e271732,62,,https://bgoonz-blog.netlify.app/docs/python/google-sheets-api/
,,,,at-length/,,1,https://bgoonz-blog.netlify.app/docs/python/at-length/,text/html;charset=UTF-8,200,OK,Indexable,,c5a07a61e1521b18d62217e2cd2cc9f8,54,,https://bgoonz-blog.netlify.app/docs/python/at-length/
,,,,cheat-sheet/,,1,https://bgoonz-blog.netlify.app/docs/python/cheat-sheet/,text/html;charset=UTF-8,200,OK,Indexable,,6eade7ad68276043d4bf2f995a13fda8,56,,https://bgoonz-blog.netlify.app/docs/python/cheat-sheet/
,,,content/,,,7,https://bgoonz-blog.netlify.app/docs/content/,text/html;charset=UTF-8,200,OK,Indexable,,cffada4a6b9dd28b62ace156fb64ac49,45,,https://bgoonz-blog.netlify.app/docs/content/
,,,,gatsby-Queries-Mutations/,,1,https://bgoonz-blog.netlify.app/docs/content/gatsby-Queries-Mutations/,text/html; charset=utf-8,301,Moved Permanently,Non-Indexable,Redirected,,70,,https://bgoonz-blog.netlify.app/docs/content/gatsby-Queries-Mutations/
,,,,history-api/,,1,https://bgoonz-blog.netlify.app/docs/content/history-api/,text/html; charset=utf-8,200,OK,Indexable,,f4018345fe9d305d0f8b04e1ff4dabc7,57,,https://bgoonz-blog.netlify.app/docs/content/history-api/
,,,,archive/,,1,https://bgoonz-blog.netlify.app/docs/content/archive/,text/html;charset=UTF-8,200,OK,Indexable,,8d4fe917239b0129fd93dddb1e9bd417,53,,https://bgoonz-blog.netlify.app/docs/content/archive/
,,,,main-projects/,,1,https://bgoonz-blog.netlify.app/docs/content/main-projects/,text/html;charset=UTF-8,200,OK,Indexable,,2314269b86a105c6789878b25ad9ad04,59,,https://bgoonz-blog.netlify.app/docs/content/main-projects/
,,,,algo/,,1,https://bgoonz-blog.netlify.app/docs/content/algo/,text/html;charset=UTF-8,200,OK,Indexable,,e6aa847aa68c36a12142ad20b0367067,50,,https://bgoonz-blog.netlify.app/docs/content/algo/
,,,,trouble-shooting/,,1,https://bgoonz-blog.netlify.app/docs/content/trouble-shooting/,text/html;charset=UTF-8,200,OK,Indexable,,d0aa2b8cacaf32b4ba20946ed2af6523,62,,https://bgoonz-blog.netlify.app/docs/content/trouble-shooting/
